severity,category,element_id,labels,node_id,node_name,property,detail,value_sample
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17143,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629826773,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17144,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443512021,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17145,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152989674327769301,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17146,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152996271397535957,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17147,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152998470420791509,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17148,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152999569932419285,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17149,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955674837,,,Node has no non-empty name property.,
low,blank_list_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1715,"['Quelle', 'ExternalLink', 'ResearchDocument']",q_research_circular_construction_reuse_graph_gaps_url_7a3fa4fd,-when-reusing-products-from-existing-structures_June2023.pdf,url_redirect_chain,Property is an empty list.,[]
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17150,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155253568769360085,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17151,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157505368583045333,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17152,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157506468094673109,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17153,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155254668280987861,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17154,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153002868467302613,,,Node has no non-empty name property.,
